DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,TotalPersonasSencibilizadas,COD DANE INST EDUC,MUNICIPIO_COD,FECHA DE CARGUE,ID INDICADOR,INVERSION_TOTAL,FECHA VIGENCIA,META_NACIONAL
BOYACA,MONGUA,30,115464000242,15464,2015-12-31,3101,2227116.37,2015-12-31,34000
HUILA,CAMPOALEGRE,48,141132000070,41132,2014-12-31,2344,5681430.31,2014-12-31,18300
QUINDIO,ARMENIA,4,163001002496,63001,2016-12-31,3979,354169.46,2016-12-31,48000
SUCRE,GALERAS,24,170235000256,70235,2016-12-31,3979,2125016.76,2016-12-31,48000
ANTIOQUIA,MEDELLIN,16,305001013730,5001,2016-12-31,3979,1416677.84,2016-12-31,48000
BOGOTA,"BOGOTA, D.C.",36,111769000956,11001,2014-12-31,2344,4261072.73,2014-12-31,18300
ATLANTICO,BARRANQUILLA,1,308001013461,8001,2016-12-31,3979,88542.36,2016-12-31,48000
SUCRE,SAN MARCOS,24,170708000364,70708,2014-12-31,2344,2840715.15,2014-12-31,18300
NARI�O,SAN ANDRES DE TUMACO,10,152835001568,52835,2015-12-31,3101,742372.12,2015-12-31,34000
SANTANDER,BUCARAMANGA,6,168001001157,68001,2016-12-31,3979,531254.19,2016-12-31,48000
BOLIVAR,EL CARMEN DE BOLIVAR,24,113244000125,13244,2015-12-31,3101,1781693.1,2015-12-31,34000
